datetime,nanosecond,lng,lat,power,type
2014-01-02 09:53:28,870100000,24.1326,121.7601,-,IC
2014-01-02 09:53:29,519500000,24.1509,121.7775,-,IC
2014-01-02 10:58:20,220800000,23.6905,122.0785,-,IC
2014-01-04 07:07:05,144300000,21.9187,120.8034,-,IC
2014-01-08 11:15:59,7500000,24.2074,121.824,-,IC
2014-01-08 11:21:58,5500000,24.0558,121.6857,-,IC
2014-01-08 11:21:59,24500000,24.0681,121.7001,-,IC
2014-01-08 11:22:02,30500000,24.0906,121.718,-,IC
2014-01-08 11:22:10,8100000,24.1034,121.7308,-,IC
2014-01-10 18:02:14,18300000,24.0728,121.7039,-,IC
2014-01-12 21:23:45,303500000,22.0974,120.728,-,IC
2014-01-12 21:23:45,303600000,22.0974,120.728,-,IC
2014-01-13 01:31:22,62300000,21.783,120.8428,-,IC
2014-01-13 01:31:22,77500000,21.8578,120.8182,-,IC
2014-01-13 01:31:22,77600000,21.8578,120.8182,-,IC
2014-01-13 01:55:43,60600000,21.9726,120.7736,-,IC
2014-01-15 08:26:45,532500000,22.6135,120.6999,-,IC
2014-01-17 19:32:25,200000000,24.2576,121.9301,-,IC
2014-01-17 19:32:25,200100000,24.2576,121.9301,-,IC
2014-01-18 17:29:51,408700000,23.7609,121.6154,-,IC
2014-01-18 17:30:21,197800000,23.786,122.0241,-,IC
2014-01-25 09:52:27,5100000,24.0606,121.6902,-,IC
2014-01-27 16:20:10,6900000,24.0752,121.7037,-,IC
